animal_id,source,species,breed,breed_secondary,name,age,gender,color,physical_desc,temperament,status,owner_name,adopted,intake_type,location,image_url,date_listed
cat-abys,thecatapi,chat,Abyssin,,Abyssin,,,,L'Abyssin est facile à entretenir et apporte beaucoup de joie dans un foyer. Ce sont des chats affectueux qui aiment autant les humains que les autres animaux.,"Actif, Énergique, Indépendant, Intelligent, Doux",,,,,Égypte,https://cdn2.thecatapi.com/images/0XYvRd7oD.jpg,
cat-aege,thecatapi,chat,Égéen,,Égéen,,,,"Originaire des îles grecques connues sous le nom de Cyclades, où ils sont un félin domestique naturel, le chat Égéen se développe comme pêcheur amical et intelligent. Affectueux, il vient souvent chercher des câlins.","Affectueux, Social, Intelligent, Joueur, Actif",,,,,Grèce,https://cdn2.thecatapi.com/images/ozEvzdVM-.jpg,
cat-abob,thecatapi,chat,Bobtail américain,,Bobtail,,,,"Le Bobtail américain est très intelligent et possède une apparence sauvage distinctive. Malgré son air féroce, c'est un chat affectueux et doux qui s'entend bien avec les enfants et les autres animaux.","Intelligent, Interactif, Vif, Joueur, Sensible",,,,,États-Unis,https://cdn2.thecatapi.com/images/hBXicehMA.jpg,
cat-acur,thecatapi,chat,American Curl,,Curl,,,,"L'American Curl se distingue par ses oreilles recourbées vers l'arrière. Il est joueur, curieux et s'adapte bien à la vie de famille. Sa personnalité enjouée persiste jusqu'à un âge avancé.","Affectueux, Curieux, Intelligent, Interactif, Vif, Joueur, Social",,,,,États-Unis,https://cdn2.thecatapi.com/images/xnsqonbjW.jpg,
cat-asho,thecatapi,chat,American Shorthair,,Shorthair,,,,"L'American Shorthair est un chat robuste et équilibré, connu pour sa santé et sa longévité. Doux et facile à vivre, c'est un excellent compagnon familial.","Actif, Curieux, Facile à vivre, Joueur, Calme",,,,,États-Unis,https://cdn2.thecatapi.com/images/JFPROfGtQ.jpg,
cat-awir,thecatapi,chat,American Wirehair,,Wirehair,,,,"L'American Wirehair se caractérise par son pelage dur et ondulé. Il est affectueux, calme et s'adapte facilement. Peu exigeant, c'est un chat idéal pour la vie en intérieur.","Affectueux, Curieux, Doux, Intelligent, Interactif, Vif, Loyal, Joueur, Sensible, Social",,,,,États-Unis,https://cdn2.thecatapi.com/images/8D--jCd21.jpg,
cat-amau,thecatapi,chat,Mau arabe,,Mau,,,,"Le Mau arabe est une race naturelle originaire du désert. Robuste et énergique, c'est un excellent chasseur. Il est loyal envers sa famille et s'adapte bien à la vie domestique.","Affectueux, Agile, Curieux, Indépendant, Joueur, Loyal",,,,,Émirats arabes unis,https://cdn2.thecatapi.com/images/k71ULYfRr.jpg,
cat-amis,thecatapi,chat,Mist australien,,Misty,,,,"Le Mist australien est un chat tacheté au tempérament doux. Affectueux sans être envahissant, il aime la compagnie et tolère bien la manipulation, ce qui en fait un bon chat de famille.","Vif, Social, Joueur, Détendu, Affectueux",,,,,Australie,https://cdn2.thecatapi.com/images/_6x-3TiCA.jpg,
cat-bali,thecatapi,chat,Balinais,,Balinais,,,,"Le Balinais est une version à poil long du Siamois. Gracieux et élégant, il est bavard, joueur et très attaché à ses humains. Il supporte mal la solitude.","Affectueux, Intelligent, Joueur",,,,,États-Unis,https://cdn2.thecatapi.com/images/13MkvUreZ.jpg,
cat-bamb,thecatapi,chat,Bambino,,Bambino,,,,"Le Bambino est un chat sans poil aux pattes courtes. Il est vif, curieux et adore être le centre d'attention. Malgré sa petite taille, il est plein d'énergie et d'affection.","Affectueux, Vif, Amical, Intelligent",,,,,États-Unis,https://cdn2.thecatapi.com/images/5AdhMjeEu.jpg,
cat-beng,thecatapi,chat,Bengal,,Bengal,,,,"Le Bengal a l'apparence d'un chat sauvage mais le caractère d'un chat domestique. Très actif et intelligent, il aime grimper, jouer avec l'eau et interagir avec sa famille.","Vigilant, Agile, Énergique, Exigeant, Intelligent",,,,,États-Unis,https://cdn2.thecatapi.com/images/O3btzLlsO.jpg,
cat-birm,thecatapi,chat,Birman,,Birman,,,,"Le Birman est un chat doux, calme et affectueux. Ses yeux bleus profonds et son pelage soyeux en font une race très appréciée. Il s'entend bien avec les enfants et les autres animaux.","Affectueux, Actif, Doux, Social",,,,,France,https://cdn2.thecatapi.com/images/HOrX5gwLS.jpg,
cat-bomb,thecatapi,chat,Bombay,,Bombay,,,,"Le Bombay ressemble à une panthère miniature avec son pelage noir lustré. Il est affectueux, joueur et aime être au centre de l'attention. Il s'adapte bien à la vie de famille.","Affectueux, Dépendant, Doux, Intelligent, Joueur",,,,,États-Unis,https://cdn2.thecatapi.com/images/5iYq9NmT1.jpg,
cat-bslo,thecatapi,chat,British Longhair,,Brit Shorthair,,,,"Le British Longhair est la version à poil long du British Shorthair. Calme, posé et affectueux, c'est un compagnon idéal qui apprécie autant les moments de jeu que les siestes.","Affectueux, Facile à vivre, Indépendant, Intelligent, Loyal, Social",,,,,Royaume-Uni,https://cdn2.thecatapi.com/images/7isAO4Cav.jpg,
cat-bsho,thecatapi,chat,British Shorthair,,Brit Shorthair,,,,"Le British Shorthair est un chat robuste au caractère équilibré. Calme et affectueux sans être collant, il est idéal pour la vie en appartement et s'entend bien avec les enfants.","Affectueux, Facile à vivre, Doux, Loyal, Patient, calm",,,,,Royaume-Uni,https://cdn2.thecatapi.com/images/s4wQfYoEk.jpg,
cat-bure,thecatapi,chat,Burmese,,Burmese,,,,"Le Burmese est un chat affectueux et sociable qui adore la compagnie. Joueur et curieux, il reste souvent « chaton » dans l'âme jusqu'à un âge avancé. Il supporte mal la solitude.","Curieux, Intelligent, Doux, Social, Interactif, Joueur, Vif",,,,,Birmanie,https://cdn2.thecatapi.com/images/4lXnnfxac.jpg,
cat-buri,thecatapi,chat,Burmilla,,Burmilla,,,,"Le Burmilla est un croisement entre le Burmese et le Chinchilla Persan. Il est joueur, affectueux et possède un magnifique pelage argenté. Il s'adapte facilement à tout type de foyer.","Facile à vivre, Amical, Intelligent, Vif, Joueur, Social",,,,,Royaume-Uni,https://cdn2.thecatapi.com/images/jvg3XfEdC.jpg,
cat-cspa,thecatapi,chat,California Spangled,,California,,,,"Le California Spangled est un chat au look sauvage créé pour sensibiliser à la protection des félins. Actif, intelligent et loyal, il a besoin de stimulation physique et mentale.","Affectueux, Curieux, Intelligent, Loyal, Social",,,,,États-Unis,https://cdn2.thecatapi.com/images/B1ERTmgph.jpg,
cat-ctif,thecatapi,chat,Chantilly-Tiffany,,Chantilly,,,,"Le Chantilly-Tiffany est un chat semi-longhair au caractère doux et affectueux. Il est loyal envers sa famille, s'entend bien avec les enfants et les autres animaux.","Affectueux, Exigeant, Interactif, Loyal",,,,,États-Unis,https://cdn2.thecatapi.com/images/TR-5nAd_S.jpg,
cat-char,thecatapi,chat,Chartreux,,Chartreux,,,,"Le Chartreux est un chat français au pelage gris-bleu et aux yeux orange. Calme, observateur et fidèle, c'est un compagnon discret mais très attaché à ses humains.","Affectueux, Loyal, Intelligent, Social, Vif, Joueur",,,,,France,https://cdn2.thecatapi.com/images/j6oFGLpRG.jpg,
dogceo-affenpinscher,dogceo,chien,Affenpinscher,,Affen,,,,,,,,,,,https://images.dog.ceo/breeds/affenpinscher/n02110627_7680.jpg,
dogceo-african,dogceo,chien,Chien africain,,Afro,,,,,,,,,,,https://images.dog.ceo/breeds/african-wild/n02116738_6813.jpg,
dogceo-airedale,dogceo,chien,Airedale Terrier,,Airedale,,,,,,,,,,,https://images.dog.ceo/breeds/airedale/n02096051_5267.jpg,
dogceo-akita,dogceo,chien,Akita,,Akita,,,,,,,,,,,https://images.dog.ceo/breeds/akita/Akita_Inu_dog.jpg,
dogceo-appenzeller,dogceo,chien,Bouvier de l'Appenzell,,Appenzell,,,,,,,,,,,https://images.dog.ceo/breeds/appenzeller/n02107908_2499.jpg,
dogceo-australian,dogceo,chien,Berger australien,,Aussie,,,,,,,,,,,https://images.dog.ceo/breeds/australian-kelpie/Resized_20201114_133404_109264920155921.jpg,
dogceo-bakharwal,dogceo,chien,Bakharwal,,Bakharwal,,,,,,,,,,,https://images.dog.ceo/breeds/bakharwal-indian/Bakharwal.jpg,
dogceo-basenji,dogceo,chien,Basenji,,Basenji,,,,,,,,,,,https://images.dog.ceo/breeds/basenji/n02110806_4322.jpg,
dogceo-beagle,dogceo,chien,Beagle,,Beagle,,,,,,,,,,,https://images.dog.ceo/breeds/beagle/n02088364_11509.jpg,
dogceo-bluetick,dogceo,chien,Bluetick Coonhound,,Bluetick,,,,,,,,,,,https://images.dog.ceo/breeds/bluetick/n02088632_1831.jpg,
dogceo-borzoi,dogceo,chien,Borzoï,,Borzoi,,,,,,,,,,,https://images.dog.ceo/breeds/borzoi/n02090622_1253.jpg,
dogceo-bouvier,dogceo,chien,Bouvier,,Bouvier,,,,,,,,,,,https://images.dog.ceo/breeds/bouvier/n02106382_2087.jpg,
dogceo-boxer,dogceo,chien,Boxer,,Boxer,,,,,,,,,,,https://images.dog.ceo/breeds/boxer/n02108089_9724.jpg,
dogceo-brabancon,dogceo,chien,Petit Brabançon,,Brabancon,,,,,,,,,,,https://images.dog.ceo/breeds/brabancon/n02112706_1970.jpg,
dogceo-briard,dogceo,chien,Briard,,Briard,,,,,,,,,,,https://images.dog.ceo/breeds/briard/n02105251_6138.jpg,
dogceo-buhund,dogceo,chien,Buhund norvégien,,Buhund,,,,,,,,,,,https://images.dog.ceo/breeds/buhund-norwegian/hakon1.jpg,
dogceo-bulldog,dogceo,chien,Bouledogue,,Bouledogue,,,,,,,,,,,https://images.dog.ceo/breeds/bulldog-boston/n02096585_2098.jpg,
dogceo-bullterrier,dogceo,chien,Bull Terrier,,Bully,,,,,,,,,,,https://images.dog.ceo/breeds/bullterrier-staffordshire/n02093256_3113.jpg,
dogceo-cattledog,dogceo,chien,Bouvier australien,,Cattledog,,,,,,,,,,,https://images.dog.ceo/breeds/cattledog-australian/IMG_3056.jpg,
dogceo-cavapoo,dogceo,chien,Cavapoo,,Cavapoo,,,,,,,,,,,https://images.dog.ceo/breeds/cavapoo/doggo4.jpg,
A928232,austin,chien,Mastiff,,Gus,2 ans,Mâle,Brun et noir,,,Adoption,,1,Stray,"Huy, Belgique",,2025-05-04
A926142,austin,chien,Labrador (croisé),,*Big Red,9 mois,Mâle,Roux,,,Adoption,,1,Owner Surrender,"Liège, Belgique",,2025-05-04
A917477,austin,chien,Mastiff,Pit Bull,Canelo,1 an,Mâle,Bringé brun,,,Adoption,,1,Stray,"Namur, Belgique",,2025-05-04
A785878,austin,chien,Bouvier australien,Labrador Retriever,*Brighton,8 ans,Mâle,Rouan et blanc,,,Adoption,,1,Stray,"Bruxelles, Belgique",,2025-05-04
A912968,austin,chien,Lévrier greyhound,,*Penny,1 an,Femelle,Fauve,,,Adoption,,1,Stray,"Charleroi, Belgique",,2025-05-04
A921762,austin,chien,Pit Bull,,Fiona,2 ans,Femelle,Blanc,,,Transfer,,0,Stray,"Mons, Belgique",,2025-05-04
A927485,austin,chien,Berger d'Anatolie (croisé),,*El Luchador,4 mois,Mâle,Bringé brun et blanc,,,Adoption,,1,Stray,"Tournai, Belgique",,2025-05-04
A924278,austin,chien,Berger allemand (croisé),,*Finn,2 ans,Mâle,Black/Brown,,,Adoption,,1,Stray,"Arlon, Belgique",,2025-05-04
A621834,austin,chien,Jack Russell Terrier (croisé),,Nahtha,15 ans,Femelle,Blanc et gris,,,Adoption,,1,Stray,"Dinant, Belgique",,2025-05-04
A929174,austin,chien,Border Collie,,Elly,1 an,Femelle,Blanc et noir,,,Adoption,,1,Stray,"Verviers, Belgique",,2025-05-04
A927435,austin,chien,Husky sibérien,,*Broccoli,2 mois,Mâle,Black/Brown,,,Adoption,,1,Stray,"Wavre, Belgique",,2025-05-04
A927578,austin,chien,Berger allemand,Labrador Retriever,Coyote,2 ans,Mâle,Brun et noir,,,Adoption,,1,Owner Surrender,"Ottignies, Belgique",,2025-05-04
A928789,austin,chien,Pit Bull,,*Gorgeous George,2 ans,Mâle,Roux et blanc,,,Adoption,,1,Public Assist,"Nivelles, Belgique",,2025-05-03
A929560,austin,chien,Chihuahua (poil court),,Firulais,6 ans,Mâle,Brun et blanc,,,Return to Owner,,0,Stray,"Marche-en-Famenne, Belgique",,2025-05-03
A928328,austin,chien,Labrador Retriever,Affenpinscher,*Willie,3 ans,Mâle,Black/White,,,Adoption,,1,Stray,"Bastogne, Belgique",,2025-05-03
A928772,austin,chien,Berger allemand,,*Cooper,7 ans,Mâle,Brun,,,Transfer,,0,Stray,"Ciney, Belgique",,2025-05-03
A928241,austin,chien,Labrador Retriever,Berger allemand,*Haagen-Dogs,2 mois,Mâle,Black/Brown,,,Adoption,,1,Stray,Outside Jurisdiction,,2025-05-03
A929631,austin,chien,Chihuahua (poil court),Teckel,Fiona,16 ans,Femelle,Fauve,,,Euthanasia,,0,Stray,"Andenne, Belgique",,2025-05-03
A914734,austin,chien,Pit Bull,,Rio,1 an,Femelle,Fauve et blanc,,,Transfer,,0,Stray,"Waremme, Belgique",,2025-05-03
A901944,austin,chien,Montagne des Pyrénées (croisé),,Wally,1 an,Mâle,Fauve et blanc,,,Adoption,,1,Stray,"Seraing, Belgique",,2025-05-02
A927632,austin,chien,Bull Terrier,,*Esperanza,4 mois,Femelle,Blanc et noir,,,Adoption,,1,Stray,"Herstal, Belgique",,2025-05-02
A926588,austin,chien,Montagne des Pyrénées,,Big,6 mois,Mâle,Blanc et fauve,,,Adoption,,1,Owner Surrender,"Ans, Belgique",,2025-05-02
A848454,austin,chat,"Chat domestique (poil court, croisé)",,Olli,11 ans,Femelle,Tabby roux,,,Adoption,,1,Owner Surrender,"Saint-Nicolas, Belgique",,2025-05-04
A464421,austin,chat,Siamois (croisé),,Princess,18 ans,Femelle,Lynx point,,,Adoption,,1,Owner Surrender,"Malines, Belgique",,2025-05-04
A927303,austin,chat,Chat domestique (poil court),,*Drusilla,1 an,Femelle,Écaille de tortue,,,Adoption,,1,Owner Surrender,"Louvain-la-Neuve, Belgique",,2025-05-04
A928474,austin,chat,Chat domestique (poil court),,*Midge,1 an,Femelle,Torbie,,,Adoption,,1,Public Assist,"Gembloux, Belgique",,2025-05-04
A928536,austin,chat,Chat domestique (poil court),,*Havana,2 mois,Mâle,Noir,,,Adoption,,1,Stray,"Jodoigne, Belgique",,2025-05-04
A926375,austin,chat,Chat domestique (poil court),,*Duck,1 mois,Mâle,Black/White,,,Adoption,,1,Stray,"Perwez, Belgique",,2025-05-04
A926373,austin,chat,Chat domestique (poil court),,*Owl,1 mois,Femelle,Noir,,,Adoption,,1,Stray,"Eghezée, Belgique",,2025-05-04
A926374,austin,chat,Chat domestique (poil court),,*Hen,1 mois,Femelle,Noir,,,Adoption,,1,Stray,"Hannut, Belgique",,2025-05-04
A929023,austin,chat,Chat domestique (poil court),,Pluto,3 ans,Mâle,Tabby brun et blanc,,,Adoption,,1,Owner Surrender,"Braives, Belgique",,2025-05-04
A929143,austin,chat,Chat domestique (poil court),,*Brandy,8 mois,Femelle,Tabby brun,,,Adoption,,1,Stray,"Huy, Belgique",,2025-05-03
A929266,austin,chat,Chat domestique (poil court),,*Natasha,2 ans,Femelle,Bleu,,,Adoption,,1,Stray,"Liège, Belgique",,2025-05-03
A928476,austin,chat,Chat domestique (poil court),,*Captain Catnip,6 mois,Mâle,Tabby crème,,,Adoption,,1,Stray,"Namur, Belgique",,2025-05-03
A929153,austin,chat,Chat domestique (poil long),,*Seraphina,2 ans,Femelle,Tricolore,,,Adoption,,1,Stray,"Bruxelles, Belgique",,2025-05-03
A927840,austin,chat,Chat domestique (poil long),,*Faygo,2 mois,Mâle,Roux,,,Adoption,,1,Stray,"Charleroi, Belgique",,2025-05-03
A927841,austin,chat,Chat domestique (poil long),,*Fanta,2 mois,Mâle,Chamois,,,Adoption,,1,Stray,"Mons, Belgique",,2025-05-03
A929095,austin,chat,Chat domestique (poil court),,Sawyer,3 ans,Mâle,Tabby bleu,,,Adoption,,1,Owner Surrender,"Tournai, Belgique",,2025-05-03
A929171,austin,chat,Chat domestique (poil court),,Gracie,3 ans,Femelle,Tabby crème et blanc,,,Adoption,,1,Owner Surrender,"Arlon, Belgique",,2025-05-03
A929532,austin,chat,Chat domestique (poil court),,Birdy,3 ans,Femelle,Tricolore,,,Transfer,,0,Owner Surrender,"Dinant, Belgique",,2025-05-03
A891961,austin,chat,Chat domestique (poil court),,*Lara,1 an,Femelle,Black/White,,,Adoption,,1,Stray,"Verviers, Belgique",,2025-05-03
A929103,austin,chat,Chat domestique (poil court),,*Jamie Lee,1 an,Femelle,Tabby bleu,,,Adoption,,1,Stray,"Wavre, Belgique",,2025-05-03
A929597,austin,chat,Chat domestique (poil court),,Munchkin,1 an,Femelle,Tabby brun,,,Transfer,,0,Stray,"Ottignies, Belgique",,2025-05-02
